ds,y
2354,5414
2355,7319
2356,7791
2357,7736
2358,6996
2359,7015
2360,6281
2361,6343
2362,7823
2363,7630
2364,7323
2365,7309
2366,7020
2367,5999
2368,5697
2369,7392
2370,7557
2371,8070
2372,6936
2373,6362
2374,5316
2375,5737
2376,5080
2377,7627
2378,7340
2379,7080
2380,6343
2381,5383
2382,5351
2383,7581
2384,7336
2385,7130
2386,7251
2387,7299
2388,5460
2389,5533
2390,7905
2391,7750
2392,6968
2393,7101
2394,6917
2395,5371
2396,5189
2397,8040
2398,8025
2399,7015
2400,7069
2401,6858
2402,5291
2403,4796
2404,7478
2405,7367
2406,7142
2407,6772
2408,6637
2409,5518
2410,5498
2411,7229
2412,7141
2413,6599
2414,6913
2415,6842
2416,5739
2417,5596
2418,7727
2419,7120
2420,7085
2421,6840
2422,6549
2423,5405
2424,4621
2425,7150
2426,6979
2427,6555
2428,6551
2429,5776
2430,5268
2431,5113
2432,7231
2433,6883
2434,6889
2435,6333
2436,6210
2437,5691
2438,5291
2439,4763
2440,7144
2441,6921
2442,7310
2443,6923
2444,5666
2445,5453
2446,7048
2447,6997
2448,6804
2449,7088
2450,6591
2451,5799
2452,5214
2453,5821
2454,7325
2455,7606
2456,6995
2457,6321
2458,5422
2459,5211
2460,6515
2461,6653
2462,6448
2463,6149
2464,5668
2465,5199
2466,4756
2467,6280
2468,6048
2469,6543
2470,6519
2471,6132
2472,5042
2473,4323
2474,5645
2475,7841
2476,6380
2477,6658
2478,6971
2479,5228
2480,4563
2481,7608
2482,7036
2483,6278
2484,5962
2485,6430
2486,5898
2487,5968
2488,7852
2489,9008
2490,9004
2491,8052
2492,7185
2493,5980
